,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,month,year,day,dayofweek
19087,250000.0,3,1.0,1010,8711,1.0,0,0,5,6,1010,0,1944,0,98056,47.4914,-122.186,1250,8053,7,2014,10,3
4223,571900.0,4,1.75,1710,8947,1.0,0,0,4,7,1710,0,1956,0,98007,47.5947,-122.135,1360,10133,12,2014,1,0
18285,476500.0,4,2.5,2250,50155,2.0,0,0,3,8,2250,0,1998,0,98045,47.449,-121.756,2040,57857,10,2014,23,3
20409,461000.0,3,2.25,1620,998,2.5,0,0,3,8,1540,80,2012,0,98027,47.5394,-122.027,1620,1068,4,2015,3,4
9121,255000.0,3,1.0,1010,11880,1.0,0,0,3,7,1010,0,1960,0,98030,47.3762,-122.219,1150,9435,3,2015,5,3
17270,274950.0,3,1.75,1670,7415,1.0,0,0,3,7,1320,350,1987,0,98042,47.3776,-122.116,1650,8585,5,2014,27,1
5513,575000.0,2,1.5,1750,19709,1.5,0,0,4,8,1440,310,1978,0,98010,47.3351,-122.044,1950,21075,8,2014,19,1
11817,250000.0,3,2.25,1620,10850,1.0,0,0,3,7,1620,0,1966,0,98055,47.4437,-122.194,1910,10568,11,2014,3,0
6546,750000.0,3,2.0,1840,2825,1.0,0,0,3,7,1040,800,1920,0,98112,47.6428,-122.302,1820,3750,4,2015,30,3
15258,3065000.0,5,3.0,4150,7500,2.5,0,4,5,11,3510,640,1909,0,98119,47.6303,-122.362,2250,4050,2,2015,12,3
11327,313000.0,3,1.5,1550,7260,1.5,0,0,2,6,1550,0,1925,0,98166,47.4693,-122.349,1190,7620,11,2014,17,0
21173,880000.0,4,2.5,2580,3436,2.0,0,0,3,8,2580,0,2013,0,98033,47.6853,-122.21,1780,5772,1,2015,9,4
16096,465000.0,5,3.0,2010,7264,1.0,0,0,3,7,1290,720,1990,0,98103,47.6945,-122.33,1510,7326,1,2015,22,3
9216,340000.0,3,1.75,3400,46382,1.0,0,0,3,7,2050,1350,1979,0,98053,47.6458,-121.955,2320,20624,11,2014,20,3
17230,1880000.0,4,2.75,3260,19542,1.0,0,0,4,10,2170,1090,1968,0,98039,47.6245,-122.236,3480,19863,5,2014,14,2
8202,389500.0,5,3.5,2960,12527,2.0,0,0,3,9,1940,1020,1986,0,98023,47.3134,-122.35,2210,10952,10,2014,29,2
10283,1025000.0,5,3.5,5050,16500,2.0,0,2,3,11,5050,0,2001,0,98075,47.5863,-121.967,4570,16500,10,2014,7,1
9797,875000.0,3,2.5,2520,3750,2.0,0,1,4,9,2520,0,1995,0,98116,47.5671,-122.404,2250,6200,4,2015,22,2
15166,1755000.0,4,4.0,3860,67953,2.0,0,2,4,12,3860,0,1927,0,98177,47.7469,-122.378,4410,128066,1,2015,28,2
15410,839000.0,3,1.0,1230,12305,1.0,0,0,3,7,1230,0,1955,1990,98004,47.6095,-122.195,2100,7960,5,2014,15,3
19304,225000.0,3,1.0,1250,7820,1.0,0,0,3,7,1250,0,1967,0,98001,47.3397,-122.291,1300,7920,3,2015,25,2
20282,216000.0,4,2.5,1847,8000,2.0,0,0,3,7,1847,0,2008,0,98001,47.2874,-122.257,1767,8000,3,2015,17,1
11880,367999.0,4,2.75,3430,8000,1.5,0,0,4,8,3430,0,1972,0,98023,47.3183,-122.382,2090,8000,4,2015,23,3
18656,665000.0,6,3.0,2480,9720,2.0,0,0,3,8,2480,0,1972,0,98007,47.6127,-122.145,2480,9200,1,2015,30,4
18468,83000.0,2,1.0,900,8580,1.0,0,0,3,5,900,0,1918,0,98168,47.4727,-122.27,2060,6533,5,2014,29,3
14775,655000.0,4,2.75,2890,46609,2.0,0,0,4,9,2890,0,1981,0,98077,47.7454,-122.061,2880,68824,4,2015,9,3
626,559950.0,3,2.5,1660,1458,3.0,0,0,3,9,1660,0,2014,0,98144,47.5876,-122.309,1660,1784,8,2014,8,4
20658,625000.0,3,2.5,3220,6409,2.0,0,0,3,9,3220,0,2008,0,98059,47.4815,-122.127,3330,6231,5,2015,1,4
1768,1175000.0,5,2.75,2560,5618,1.5,0,2,3,8,2220,340,1923,0,98109,47.6416,-122.355,2740,4000,2,2015,5,3
15153,225000.0,3,1.5,1660,7221,1.0,0,0,3,7,980,680,1962,0,98168,47.4962,-122.32,1770,8083,8,2014,12,1
12430,397000.0,3,1.0,860,6380,1.5,0,0,4,7,860,0,1927,0,98115,47.6942,-122.315,1250,6380,10,2014,14,1
91,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,3,2015,11,2
9900,963990.0,4,3.25,3830,6765,2.0,0,0,3,9,3830,0,2014,0,98053,47.685,-122.016,3830,6507,7,2014,24,3
2912,240000.0,3,1.0,1470,7350,1.0,0,0,3,7,1470,0,1969,0,98032,47.3616,-122.286,1720,8050,10,2014,7,1
5440,693000.0,4,2.5,3160,13063,2.0,0,0,3,10,3160,0,1999,0,98075,47.5996,-122.021,3350,14213,12,2014,10,2
19874,333500.0,3,2.5,2196,7475,2.0,0,0,3,8,2196,0,2006,0,98030,47.3803,-122.204,1860,6755,1,2015,14,2
401,360000.0,4,1.75,3730,16980,1.0,0,0,4,7,2150,1580,1974,0,98022,47.1775,-122.022,1880,16963,8,2014,25,0
9120,145000.0,3,1.0,1010,11880,1.0,0,0,3,7,1010,0,1960,0,98030,47.3762,-122.219,1150,9435,10,2014,14,1
17177,1185000.0,3,2.75,2500,5568,2.0,0,0,5,9,2500,0,1905,0,98112,47.6258,-122.312,2810,5568,6,2014,17,1
254,245000.0,3,2.5,1730,7442,2.0,0,0,3,7,1730,0,1987,0,98030,47.3507,-122.178,1630,6458,9,2014,29,0
9598,130000.0,2,1.0,780,5300,1.0,0,0,3,6,780,0,1941,0,98146,47.513,-122.354,780,5300,3,2015,24,1
10180,597000.0,4,2.5,2370,41338,2.0,0,0,3,8,2370,0,1995,0,98077,47.7379,-122.052,2340,46661,3,2015,23,0
8432,235000.0,3,1.75,1420,7920,1.0,0,0,4,7,1420,0,1962,0,98092,47.2931,-122.188,1420,7920,7,2014,12,5
20617,284000.0,3,2.5,1880,6008,2.0,0,0,3,7,1880,0,2009,0,98042,47.3366,-122.052,2180,5185,6,2014,16,0
20851,447500.0,4,2.5,2425,9017,2.0,0,0,3,9,2425,0,2013,0,98001,47.3003,-122.263,2725,7019,9,2014,5,4
12548,442500.0,3,1.5,2710,47419,1.5,0,0,3,7,2170,540,1980,0,98053,47.6522,-121.966,2130,48144,11,2014,7,4
2261,273000.0,2,0.5,1180,7750,1.0,0,0,4,6,590,590,1945,0,98155,47.769,-122.316,1380,8976,10,2014,3,4
15138,370000.0,3,2.0,1860,9100,1.5,0,0,3,8,1860,0,1939,2006,98155,47.7522,-122.304,1620,9519,8,2014,29,4
4625,419000.0,3,1.75,2140,15030,1.0,0,0,4,7,1570,570,1958,0,98166,47.4181,-122.338,2170,15030,7,2014,24,3
20069,1238000.0,4,3.5,4670,6000,2.0,0,3,3,11,3820,850,2007,0,98027,47.5414,-121.994,4310,6000,7,2014,25,4
18352,246500.0,3,2.5,1620,7686,2.0,0,0,3,7,1620,0,1989,0,98038,47.3613,-122.053,1370,7686,6,2014,25,2
14418,606500.0,3,2.5,2170,5500,2.0,0,0,3,8,2170,0,2000,0,98075,47.5975,-122.018,2170,5862,5,2015,4,0
17016,760369.0,5,2.5,2870,4712,2.0,0,0,3,9,2870,0,2014,0,98006,47.5463,-122.182,2870,6768,10,2014,17,4
16469,345000.0,2,1.0,1160,8504,1.0,0,0,4,7,1160,0,1949,0,98155,47.7364,-122.295,1320,8504,10,2014,16,3
1534,657500.0,4,1.75,1620,7560,1.0,0,3,4,7,1380,240,1947,0,98117,47.6981,-122.4,2170,8650,4,2015,20,0
12568,990000.0,4,2.5,2540,5930,2.0,0,0,3,9,2540,0,2003,0,98199,47.6451,-122.387,1400,4000,4,2015,23,3
14461,607000.0,4,2.75,2150,16728,1.0,0,0,4,8,1240,910,1982,0,98033,47.6915,-122.183,2200,9257,7,2014,15,1
1087,225000.0,3,1.5,1370,9000,1.0,0,0,3,7,1370,0,1962,0,98168,47.4973,-122.328,1400,9075,7,2014,25,4
3916,711777.0,4,1.75,2220,6731,1.0,0,0,4,7,1110,1110,1953,0,98116,47.5691,-122.391,1600,6350,4,2015,16,3
11850,688100.0,4,2.5,2370,10513,2.0,0,0,4,8,2370,0,1987,0,98052,47.6915,-122.099,2110,9540,11,2014,18,1
8996,970500.0,3,2.75,2470,10125,2.0,0,0,3,8,2470,0,1960,2012,98040,47.5651,-122.223,2290,10125,6,2014,20,4
16924,226000.0,4,1.0,1270,6459,1.5,0,0,3,7,1270,0,1918,0,98118,47.5441,-122.273,1300,4100,7,2014,17,3
5453,483000.0,3,2.25,2100,43560,1.0,0,0,4,8,1330,770,1977,0,98077,47.7511,-122.072,2100,43560,4,2015,6,0
4214,525000.0,4,1.75,2120,7725,1.0,0,0,3,8,1220,900,1965,0,98007,47.6003,-122.144,2160,7725,3,2015,3,1
9807,854000.0,4,2.75,3150,38865,1.0,0,0,3,10,2480,670,1986,0,98052,47.7302,-122.106,3150,35880,6,2014,17,1
17298,440000.0,4,2.5,2250,7526,2.0,0,0,3,8,2250,0,1989,0,98059,47.5123,-122.15,1980,7526,6,2014,26,3
11616,395000.0,4,2.75,2640,35070,1.5,0,0,3,8,2640,0,1963,0,98058,47.4242,-122.181,2520,34986,7,2014,3,3
14522,410000.0,2,1.75,870,4000,1.0,0,0,3,6,870,0,1941,0,98126,47.5657,-122.376,1420,4000,3,2015,29,6
18013,352000.0,3,0.75,1240,7200,1.0,0,0,3,7,1240,0,1947,0,98133,47.7298,-122.342,1210,7200,4,2015,10,4
692,359900.0,4,2.25,2470,7698,2.0,0,0,3,8,2470,0,1983,0,98058,47.4406,-122.141,2330,7986,7,2014,21,0
14296,575000.0,4,2.0,1660,4800,1.5,0,0,3,7,1660,0,1922,0,98103,47.6556,-122.345,1660,4800,7,2014,2,2
2737,374150.0,3,1.75,1390,9585,1.0,0,0,4,7,1390,0,1973,0,98133,47.752,-122.35,1240,8188,8,2014,6,2
447,505000.0,3,2.0,1260,5460,1.0,0,0,3,7,1260,0,1972,0,98034,47.7355,-122.18,1510,5460,3,2015,19,3
17073,390000.0,3,1.5,1000,13991,1.0,0,0,4,7,1000,0,1956,0,98006,47.5643,-122.138,1520,11465,12,2014,8,0
16725,280000.0,3,1.0,1200,6250,1.0,0,0,3,6,920,280,1943,0,98168,47.5095,-122.331,1280,9375,5,2014,27,1
3664,1288000.0,4,3.5,3700,13175,2.0,0,0,4,11,3700,0,1989,0,98006,47.5471,-122.133,3880,15508,8,2014,15,4
30,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,11,2014,10,0
9480,505000.0,3,2.25,1460,7210,1.0,0,0,3,7,1460,0,1963,0,98008,47.6316,-122.119,1850,7519,4,2015,13,0
20884,270500.0,5,2.5,2406,7093,2.0,0,0,3,8,2406,0,2006,0,98001,47.2615,-122.252,1767,7093,12,2014,23,1
21049,549950.0,4,3.5,3906,9674,2.0,0,2,3,9,3906,0,2014,0,98001,47.2931,-122.264,2673,6500,7,2014,23,2
6902,250000.0,3,1.0,1660,7650,1.5,0,0,3,7,1350,310,1910,0,98118,47.5576,-122.277,1750,5760,12,2014,16,1
12984,146000.0,3,1.0,900,4770,1.0,0,0,3,6,900,0,1969,2009,98023,47.3038,-122.362,900,3480,12,2014,31,2
19500,465000.0,3,1.0,910,3880,1.0,0,0,3,7,780,130,1942,0,98117,47.6862,-122.392,1220,3880,10,2014,8,2
14245,489900.0,4,2.5,2090,4196,2.0,0,0,3,8,2090,0,2006,0,98011,47.7453,-122.192,2640,4503,7,2014,11,4
5952,376000.0,3,2.0,1540,1827,2.0,0,0,3,8,1540,0,2005,0,98029,47.5479,-121.999,1560,2058,12,2014,29,0
10381,490000.0,3,1.75,1770,7508,1.0,0,0,3,7,1270,500,1962,0,98133,47.7354,-122.343,1690,8880,3,2015,4,2
11577,440000.0,4,2.25,2160,8119,1.0,0,0,3,8,1080,1080,1966,0,98006,47.5443,-122.177,1850,9000,5,2014,2,4
15194,157500.0,3,1.0,1100,27008,1.0,0,0,3,6,960,140,1935,0,98178,47.4963,-122.249,1280,8890,3,2015,19,3
20497,599950.0,3,2.5,1510,1493,3.0,0,0,3,8,1510,0,2014,0,98107,47.669,-122.402,1530,1357,2,2015,6,4
451,333500.0,3,1.75,1220,9732,1.0,0,0,3,7,1220,0,1965,0,98011,47.7736,-122.214,1630,10007,12,2014,31,2
7521,403250.0,2,1.5,1430,8137,1.0,0,0,3,7,1130,300,1934,0,98125,47.7307,-122.29,1430,8137,10,2014,16,3
1697,749000.0,4,2.5,2930,18199,2.0,0,0,3,9,2930,0,1998,0,98075,47.5937,-122.047,2930,33976,5,2014,22,3
16195,360000.0,4,2.0,1450,8940,1.0,0,0,3,7,1450,0,1962,0,98034,47.7304,-122.24,1310,8914,1,2015,28,2
11020,375000.0,4,2.75,1890,5240,1.0,0,0,3,7,980,910,1981,0,98106,47.5528,-122.356,1600,5240,1,2015,21,2
842,428750.0,3,1.0,1620,30736,1.5,0,0,4,7,1620,0,1911,1977,98006,47.5719,-122.119,2440,28826,5,2014,9,4
8208,579000.0,3,2.5,3160,286181,2.0,0,3,3,9,3160,0,2002,0,98010,47.3401,-121.946,2110,94663,4,2015,17,4
2998,259500.0,3,1.75,1650,12349,1.0,0,0,3,7,1650,0,1957,0,98188,47.442,-122.282,1470,10763,6,2014,27,4
18437,690000.0,4,3.5,2980,2147,2.5,0,0,3,10,2490,490,2006,0,98029,47.5463,-121.995,2880,2428,10,2014,18,5
6975,648000.0,4,2.25,2170,8240,2.0,0,1,4,8,2170,0,1983,0,98006,47.5634,-122.128,2600,9898,3,2015,25,2
14527,360000.0,3,1.0,1160,10988,1.0,0,0,3,7,1160,0,1965,0,98033,47.6818,-122.165,1670,51376,10,2014,14,1
851,287653.0,3,1.0,1050,16050,1.0,0,0,4,7,1050,0,1960,1981,98038,47.3841,-122.006,1610,27600,10,2014,10,4
13498,850000.0,2,2.0,2640,13939,1.0,0,1,5,8,1640,1000,1963,0,98006,47.5647,-122.165,2880,14810,11,2014,5,2
9137,560000.0,4,2.5,1790,9787,1.0,0,2,4,8,1240,550,1983,0,98056,47.5344,-122.189,1790,9787,12,2014,16,1
5084,475000.0,4,2.5,3060,10043,1.0,0,0,4,8,1700,1360,1968,0,98133,47.7387,-122.337,1630,8296,5,2014,19,0
19821,480000.0,4,2.5,2430,5000,2.0,0,0,3,7,2430,0,2009,0,98065,47.515,-121.873,2430,5441,5,2014,16,4
11949,872750.0,3,2.5,2870,13695,2.0,0,0,3,10,2870,0,1991,0,98052,47.6944,-122.102,2840,8472,4,2015,28,1
8884,183000.0,2,1.0,670,5140,1.0,0,0,3,6,670,0,1926,0,98126,47.5387,-122.371,850,5140,8,2014,12,1
16983,335000.0,3,2.0,1170,5360,1.0,0,0,3,6,1170,0,1919,0,98106,47.5181,-122.364,1180,7200,6,2014,5,3
11161,422250.0,3,1.75,1650,7145,2.0,0,0,5,8,1300,350,1977,0,98155,47.7733,-122.324,1760,7206,1,2015,22,3
11986,330000.0,4,1.5,2500,9448,1.0,0,0,4,7,1250,1250,1966,0,98106,47.5212,-122.339,1640,9490,11,2014,7,4
2546,299900.0,4,2.5,1580,3632,2.0,0,0,3,7,1580,0,2011,0,98038,47.3672,-122.019,1950,3800,12,2014,18,3
5389,630000.0,4,1.75,1930,10210,1.5,0,2,3,8,1670,260,1941,0,98125,47.7078,-122.277,2730,6600,10,2014,27,0
18686,699950.0,3,2.5,2510,4106,2.0,0,0,3,9,2510,0,2003,0,98029,47.5494,-121.994,2470,4106,11,2014,3,0
11459,561000.0,3,2.25,1640,7200,2.0,0,0,4,8,1640,0,1985,0,98007,47.5948,-122.153,1830,8372,9,2014,22,0
19069,275000.0,3,2.25,1820,9766,1.0,0,0,4,7,1450,370,1987,0,98031,47.397,-122.203,1860,8236,10,2014,28,1
8824,571000.0,3,2.5,2600,7465,2.0,0,0,3,9,2600,0,1988,0,98011,47.7387,-122.217,2660,7683,6,2014,11,2
14312,645000.0,4,1.75,1550,7350,1.5,0,0,4,8,1550,0,1958,0,98040,47.5795,-122.235,1860,7350,9,2014,4,3
21529,670000.0,3,2.5,3310,5300,2.0,0,2,3,8,2440,870,2008,0,98136,47.5178,-122.389,2140,7500,6,2014,23,0
1007,325000.0,4,2.5,2610,7091,2.0,0,0,3,9,2610,0,1987,0,98023,47.3017,-122.349,2610,7773,6,2014,17,1
4502,618000.0,4,1.0,1260,4080,1.0,0,0,4,7,1260,0,1911,0,98105,47.6644,-122.324,1340,4080,10,2014,2,3
880,414900.0,3,1.5,1260,9570,1.0,0,0,3,7,870,390,1941,0,98115,47.7004,-122.305,1620,7000,8,2014,26,1
7551,300000.0,3,1.0,1090,9900,1.0,0,0,4,7,1090,0,1955,0,98052,47.6755,-122.16,1720,10419,5,2014,20,1
8548,330000.0,4,2.5,2310,6320,2.0,0,0,3,8,2310,0,1997,0,98092,47.3287,-122.167,1850,6181,3,2015,17,1
18351,273148.0,3,1.75,1710,7210,1.0,0,0,4,7,1240,470,1974,0,98031,47.4094,-122.175,1840,7245,9,2014,2,1
8942,399900.0,4,2.5,2710,8127,2.0,0,0,3,8,2710,0,1994,0,98038,47.379,-122.032,2520,8436,7,2014,28,0
1316,595000.0,3,2.75,2150,31238,2.0,0,0,3,9,2150,0,1996,0,98014,47.6596,-121.96,2650,38307,3,2015,24,1
15363,319000.0,3,2.5,1610,8544,2.0,0,0,5,7,1610,0,1994,0,98038,47.3714,-122.054,1840,8190,12,2014,24,2
17961,239900.0,4,1.75,1570,18730,1.0,0,0,3,7,1200,370,1960,0,98198,47.3999,-122.301,1920,18295,8,2014,5,1
19279,280000.0,2,1.0,1150,12861,1.0,0,0,3,6,1150,0,1959,0,98058,47.4493,-122.171,1170,7574,4,2015,9,3
11849,385000.0,4,3.0,2120,13000,2.0,0,0,4,8,2120,0,1978,0,98059,47.4745,-122.141,2180,11440,10,2014,23,3
16242,323400.0,4,3.0,2060,9138,1.0,0,0,3,8,1430,630,1992,0,98092,47.321,-122.185,2250,7820,1,2015,30,4
9441,680000.0,4,3.0,3150,6175,2.0,0,0,3,9,3150,0,2001,0,98075,47.5968,-122.017,3150,6986,9,2014,2,1
17042,360000.0,3,1.75,1500,7200,1.0,0,0,3,7,1500,0,1957,0,98133,47.7748,-122.337,1650,7392,6,2014,24,1
13974,870000.0,4,1.75,2370,5000,1.5,0,2,3,8,1770,600,1919,0,98103,47.6779,-122.357,2100,4550,5,2015,11,0
5700,259950.0,3,1.5,1350,7827,1.0,0,0,4,7,1350,0,1968,0,98030,47.3786,-122.219,1900,7827,8,2014,15,4
9446,355000.0,2,1.0,1450,9150,1.0,0,0,4,7,1450,0,1965,0,98188,47.4689,-122.277,1440,10636,3,2015,5,3
14889,205000.0,5,1.75,1730,5200,1.0,0,0,4,7,1050,680,1978,0,98042,47.3628,-122.089,1350,5200,5,2014,16,4
10033,228000.0,4,1.75,2000,6120,1.0,0,0,3,7,1100,900,1965,0,98178,47.5035,-122.258,1880,6120,5,2014,8,3
9155,651000.0,3,2.5,3240,108366,2.0,0,0,4,10,3240,0,1991,0,98042,47.327,-122.094,2090,108366,5,2014,7,2
16335,1350000.0,4,3.5,3500,9525,2.0,0,0,3,10,3500,0,1999,0,98040,47.5641,-122.221,2630,9525,9,2014,26,4
2105,310000.0,3,1.75,1420,7650,1.0,0,0,4,7,1100,320,1984,0,98056,47.4892,-122.182,1810,7650,6,2014,10,1
1800,206000.0,4,2.0,1720,7560,1.0,0,0,3,7,1720,0,1959,0,98001,47.2845,-122.25,1750,7988,11,2014,19,2
7279,767500.0,2,1.75,2210,9374,1.0,0,3,4,8,1560,650,1951,0,98107,47.6634,-122.359,2140,5640,12,2014,16,1
20433,525000.0,3,2.5,1580,1161,2.0,0,0,3,8,1010,570,2008,0,98112,47.6206,-122.299,1680,1177,5,2014,13,1
15332,475000.0,4,1.75,1650,7775,1.0,0,0,4,7,1150,500,1950,0,98133,47.715,-122.354,1390,7200,5,2014,20,1
16444,315000.0,3,1.0,1010,7500,1.0,0,0,4,7,1010,0,1975,0,98074,47.6172,-122.061,1250,10000,8,2014,22,4
20233,2150000.0,4,5.5,5060,10320,2.0,0,0,3,11,5060,0,2008,0,98004,47.6245,-122.21,3010,10080,5,2014,22,3
1020,840000.0,4,2.75,3130,21810,2.0,0,0,4,10,3130,0,1993,0,98077,47.7083,-122.073,3330,21810,7,2014,29,1
7417,459000.0,4,3.0,1900,9077,2.0,0,0,3,7,1900,0,1954,2015,98155,47.7684,-122.304,1900,12868,1,2015,23,4
7806,222000.0,3,1.75,1370,8280,1.0,0,0,4,7,1370,0,1980,0,98031,47.4096,-122.172,1850,7820,10,2014,10,4
9729,690000.0,3,1.5,1710,17707,1.0,0,0,4,7,1180,530,1947,0,98040,47.5393,-122.216,2590,9508,4,2015,2,3
19106,600000.0,4,2.5,1960,14242,1.0,0,1,4,8,1290,670,1958,0,98146,47.4947,-122.369,2490,10907,6,2014,3,1
18796,536000.0,3,1.75,1300,5413,1.5,0,0,3,7,1300,0,1925,1992,98115,47.6988,-122.32,1590,6380,5,2014,9,4
8516,999000.0,7,4.0,3150,34830,1.0,0,0,3,9,3150,0,1957,2005,98007,47.6029,-122.147,2390,12054,5,2014,28,2
11054,339950.0,4,2.5,2260,6086,2.0,0,0,3,8,2260,0,1999,0,98030,47.3642,-122.174,2260,6218,4,2015,13,0
1437,535000.0,3,2.0,2040,5600,1.0,0,1,5,7,1120,920,1954,0,98144,47.5959,-122.293,2120,4958,8,2014,26,1
521,190000.0,2,1.0,630,6000,1.0,0,0,3,6,630,0,1943,2005,98178,47.4973,-122.221,1470,6840,9,2014,6,5
15932,782000.0,4,2.5,2830,20345,2.0,0,0,3,10,1980,850,1979,0,98004,47.6462,-122.191,2830,13732,5,2014,9,4
21175,775000.0,4,3.5,3390,3960,2.0,0,0,3,10,3390,0,2008,0,98027,47.5406,-121.995,2990,3400,8,2014,7,3
19775,701000.0,4,2.5,3340,5314,2.0,0,0,3,10,3340,0,2010,0,98065,47.5167,-121.885,3220,5500,5,2015,11,0
17060,700000.0,5,2.75,3100,9825,2.0,0,2,4,8,3100,0,1950,1982,98125,47.7188,-122.281,2120,8400,6,2014,10,1
9145,487500.0,2,1.0,1190,5000,1.0,0,0,3,7,1190,0,1925,0,98116,47.5717,-122.382,1600,5000,4,2015,8,2
11578,412250.0,2,2.0,1300,2983,1.0,0,0,3,8,1300,0,2006,0,98053,47.703,-122.015,1510,3876,3,2015,26,3
5901,942500.0,4,3.25,3570,14408,2.0,0,2,3,10,3570,0,2006,0,98065,47.536,-121.857,4100,14577,10,2014,24,4
7299,285000.0,3,1.0,1210,4731,1.5,0,0,3,7,1210,0,1901,0,98117,47.6865,-122.397,1450,5264,6,2014,19,3
4885,250000.0,4,2.0,1850,7560,1.0,0,0,4,7,1540,310,1978,0,98032,47.3666,-122.277,1620,7658,6,2014,2,0
14613,419000.0,3,2.5,1970,4058,2.0,0,0,3,7,1970,0,2004,0,98065,47.5308,-121.853,2340,4067,7,2014,18,4
2228,210000.0,3,1.5,1160,5200,1.0,0,0,5,7,1160,0,1970,0,98042,47.364,-122.094,1170,5200,10,2014,23,3
17499,268000.0,3,1.0,1420,6000,1.0,0,0,3,6,1420,0,1941,0,98146,47.4913,-122.336,1480,6000,4,2015,21,1
2005,276900.0,2,1.0,1350,10096,1.0,0,2,4,7,1350,0,1952,0,98045,47.4967,-121.778,1280,10095,6,2014,11,2
7628,645000.0,3,2.0,2130,4000,2.0,0,0,3,7,2130,0,1908,0,98115,47.6741,-122.323,2010,4000,8,2014,20,2
16004,1346400.0,5,1.75,3380,20021,1.0,0,0,4,8,1690,1690,1963,0,98004,47.6395,-122.211,3260,19809,5,2014,12,0
7921,635000.0,4,2.5,3050,7238,2.0,0,0,3,8,3050,0,1989,0,98029,47.5772,-122.013,2580,7228,9,2014,17,2
16644,470000.0,3,3.25,1740,1693,2.0,0,0,3,8,1360,380,2007,0,98116,47.558,-122.382,1130,1626,7,2014,17,3
3475,417000.0,2,1.75,1090,4590,1.0,0,0,4,7,790,300,1915,0,98105,47.6677,-122.324,1390,4080,2,2015,9,0
11895,336000.0,4,1.0,1780,4310,1.5,0,0,5,6,1780,0,1919,0,98118,47.5486,-122.278,1460,4310,7,2014,22,1
9048,450000.0,4,2.5,1900,9240,1.0,0,0,3,7,1900,0,1962,0,98007,47.6167,-122.137,2040,8052,4,2015,5,6
9051,226800.0,2,1.0,1240,11393,1.0,0,0,4,7,1240,0,1960,0,98030,47.3714,-122.207,1660,11393,3,2015,12,3
21599,810000.0,4,3.0,3990,7838,2.0,0,0,3,9,3990,0,2003,0,98053,47.6857,-122.046,3370,6814,9,2014,15,0
6826,457500.0,3,1.75,1840,4030,1.0,0,0,5,7,1050,790,1925,0,98108,47.5549,-122.311,1840,5040,5,2014,27,1
14213,403000.0,2,1.0,720,3255,1.0,0,0,4,6,720,0,1905,0,98103,47.6823,-122.348,1430,3170,12,2014,2,1
2453,306000.0,4,2.5,2490,8124,2.0,0,0,3,7,2490,0,2001,0,98092,47.3347,-122.17,2760,6300,6,2014,12,3
16851,449950.0,4,2.5,2070,7312,1.0,0,0,4,7,1230,840,1977,0,98052,47.6958,-122.12,1770,7668,8,2014,22,4
1601,895000.0,3,2.5,2500,7746,2.0,0,0,4,10,1910,590,1993,0,98112,47.6393,-122.311,2480,5099,8,2014,6,2
4073,761000.0,3,3.5,2050,2020,2.0,0,0,3,8,1520,530,2006,0,98112,47.6235,-122.306,1230,3640,2,2015,21,5
18494,613000.0,3,1.5,1470,4480,1.0,0,0,4,7,1130,340,1918,0,98105,47.6693,-122.291,2120,4480,5,2015,7,3
5783,270000.0,3,1.5,1540,13475,1.0,0,0,4,7,1540,0,1972,0,98059,47.4766,-122.153,1550,13475,7,2014,14,0
7233,337500.0,3,2.25,1530,6600,1.0,0,0,4,7,1240,290,1968,0,98055,47.462,-122.188,1500,7700,4,2015,29,2
1519,715000.0,4,2.25,2460,40635,1.0,0,0,5,8,2460,0,1968,0,98053,47.6627,-122.032,2250,40635,8,2014,7,3
6589,230000.0,3,1.0,1120,7500,1.0,0,0,3,7,1120,0,1965,0,98146,47.5112,-122.359,1120,5000,9,2014,2,1
5278,350000.0,3,1.0,1300,10236,1.0,0,0,4,6,1300,0,1971,0,98045,47.5028,-121.77,1380,11325,9,2014,30,1
16579,256500.0,5,2.5,1960,7350,1.0,0,0,4,7,1360,600,1969,0,98058,47.4368,-122.165,1900,7350,3,2015,26,3
15913,275000.0,3,1.5,1400,9750,1.0,0,0,4,6,1400,0,1964,0,98030,47.3768,-122.17,1160,9750,3,2015,30,0
8209,621500.0,3,1.75,2570,39634,2.0,0,0,3,8,2570,0,1984,0,98075,47.596,-122.08,2990,39634,1,2015,21,2
8006,390000.0,3,1.0,1240,3600,1.5,0,0,3,7,1240,0,1902,0,98144,47.5986,-122.298,1680,3600,4,2015,8,2
10699,705000.0,4,2.0,2040,5050,1.0,0,0,5,7,1160,880,1937,0,98115,47.6885,-122.324,2040,5050,2,2015,20,4
15485,257000.0,3,1.75,1430,7210,1.0,0,0,3,7,1430,0,1975,0,98031,47.4189,-122.168,1220,7777,3,2015,31,1
2529,392450.0,4,2.0,2195,2681,1.0,0,0,3,7,1060,1135,1912,0,98103,47.6965,-122.342,1710,1280,11,2014,12,2
